iso3,country,hdicode,anesthesiology,total_yearly,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1940,1939,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,hdi_2023
AUT,Austria,Very High,4832,4832,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,5,2,3,2,0,0,1,0,0,0,0,2,3,5,5,0,5,1,1,8,18,36,20,23,20,28,26,24,32,23,27,22,34,16,26,26,38,44,39,35,38,56,45,79,120,133,104,132,97,118,127,107,125,130,118,128,126,128,119,105,126,135,120,101,112,131,120,149,206,234,211,194,251,0.93
AZE,Azerbaijan,High,85,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,1,7,3,0,4,4,1,4,2,2,2,0,2,1,2,1,7,2,3,3,1,8,11,0.789
BHS,Bahamas,Very High,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0.82
BHR,Bahrain,Very High,142,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,2,0,0,3,1,6,2,4,1,1,5,1,1,2,5,3,7,6,3,10,16,11,10,13,6,19,0.899
BGD,Bangladesh,Medium,261,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,1,4,1,1,0,1,0,3,1,3,3,2,2,4,2,0,1,3,2,2,9,4,16,7,13,6,11,8,8,7,6,9,11,18,23,20,18,22,0.685
BRB,Barbados,Very High,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,2,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,1,2,2,0,3,2,1,0,0,0,2,6,0,2,2,0.811
BLR,Belarus,Very High,152,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,7,5,2,3,2,1,0,1,0,0,0,0,1,2,0,1,0,1,0,0,1,0,0,0,0,2,2,1,1,0,1,1,0,0,0,0,8,1,2,1,4,2,4,16,14,14,15,13,16,0.824
BEL,Belgium,Very High,6933,6926,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,1,1,0,1,5,1,2,0,0,2,0,0,1,1,1,1,0,2,1,3,3,4,2,4,6,4,12,38,60,39,51,19,38,37,35,35,33,32,33,38,40,46,50,50,49,64,70,82,74,96,97,108,95,94,96,109,93,117,134,149,147,161,163,151,161,157,182,180,177,172,198,186,220,234,285,358,339,377,408,404,0.951
BLZ,Belize,High,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,1,0.721
BEN,Benin,Low,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,1,3,2,2,2,2,0,2,4,4,1,1,4,4,5,3,3,2,7,6,1,0.515
BTN,Bhutan,Medium,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,1,4,5,2,9,3,0.698
BOL,Bolivia,High,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2,2,0,0,0,2,0,4,8,3,0,5,7,8,0.733
BIH,Bosnia and Herzegovina,Very High,217,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,3,2,5,5,2,11,12,7,4,9,5,9,3,23,11,14,12,19,19,30,0.804
BWA,Botswana,High,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,4,4,1,1,0,3,5,2,6,3,3,0.731
BRA,Brazil,High,9131,9116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,2,0,0,0,2,1,0,1,1,0,1,7,40,58,44,64,43,22,37,37,51,37,6,8,9,9,4,6,12,16,25,33,30,50,49,75,89,76,92,142,104,147,167,201,240,228,236,256,272,261,309,291,300,305,303,318,343,346,342,406,545,509,413,509,576,0.786
BRN,Brunei,Very High,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,1,0,1,1,0,3,0,0,1,1,4,4,3,0.837
BGR,Bulgaria,Very High,686,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,25,18,12,4,12,18,7,5,13,6,6,10,2,7,8,1,2,7,0,3,2,5,7,4,3,6,10,6,5,4,12,6,3,5,11,9,13,10,23,15,18,25,17,26,32,25,36,23,28,19,42,46,0.845
