iso3,country,hdicode,hdi_2023,anesthesiology
LKA,Sri Lanka,High,0.776,273
SDN,Sudan,Low,0.511,139
SUR,Suriname,High,0.722,2
SWZ,Swaziland,Medium,0.695,9
SWE,Sweden,Very High,0.959,8782
CHE,Switzerland,Very High,0.97,9413
SYR,Syria,Medium,0.564,0
TWN,Taiwan,Very High,0.934,4984
TJK,Tajikistan,Medium,0.691,5
TZA,Tanzania,Medium,0.555,227
THA,Thailand,High,0.798,2140
TLS,Timor-Leste,Medium,0.634,5
TGO,Togo,Medium,0.571,48
TON,Tonga,High,0.769,6
TTO,Trinidad and Tobago,Very High,0.807,99
TUN,Tunisia,High,0.746,572
TUR,Turkey,Very High,0.853,16935
TKM,Turkmenistan,High,0.764,0
TUV,Tuvalu,Medium,0.689,2
UGA,Uganda,Medium,0.582,233
UKR,Ukraine,High,0.779,1069
ARE,United Arab Emirates,Very High,0.94,684
GBR,United Kingdom,Very High,0.946,51119
USA,United States of America,Very High,0.938,0
URY,Uruguay,Very High,0.862,156
UZB,Uzbekistan,High,0.74,107
VUT,Vanuatu,Medium,0.621,10
VEN,Venezuela,High,0.709,246
VNM,Vietnam,High,0.766,0
YEM,Yemen,Low,0.47,66
ZMB,Zambia,Medium,0.595,91
ZWE,Zimbabwe,Medium,0.598,112
